year,date,stage,where,team,result,goals_scored,goals_conceded
1990,09 Jun 1990 - 17:00,Group B,home,Soviet Union,0,0,2
1990,09 Jun 1990 - 17:00,Group D,home,"rn"">United Arab Emirates",0,0,2
1990,09 Jun 1990 - 21:00,Group A,home,Italy,3,1,0
1990,10 Jun 1990 - 17:00,Group A,home,USA,0,1,5
1990,10 Jun 1990 - 21:00,Group C,home,Brazil,3,2,1
1990,10 Jun 1990 - 21:00,Group D,home,Germany FR,3,4,1
1990,11 Jun 1990 - 17:00,Group C,home,Costa Rica,3,1,0
1990,11 Jun 1990 - 21:00,Group F,home,England,1,1,1
1990,12 Jun 1990 - 17:00,Group E,home,Belgium,3,2,0
1990,12 Jun 1990 - 21:00,Group F,home,Netherlands,1,1,1
1990,13 Jun 1990 - 17:00,Group E,home,Uruguay,1,0,0
1990,13 Jun 1990 - 21:00,Group B,home,Argentina,3,2,0
1990,14 Jun 1990 - 17:00,Group B,home,Cameroon,3,2,1
1990,14 Jun 1990 - 17:00,Group D,home,Yugoslavia,3,1,0
1990,14 Jun 1990 - 21:00,Group A,home,Italy,3,1,0
1990,15 Jun 1990 - 17:00,Group A,home,Austria,0,0,1
1990,15 Jun 1990 - 21:00,Group D,home,Germany FR,3,5,1
1990,16 Jun 1990 - 17:00,Group C,home,Brazil,3,1,0
1990,16 Jun 1990 - 21:00,Group C,home,Sweden,0,1,2
1990,16 Jun 1990 - 21:00,Group F,home,England,1,0,0
1990,17 Jun 1990 - 17:00,Group F,home,"rn"">Republic of Ireland",1,0,0
1990,17 Jun 1990 - 21:00,Group E,home,Korea Republic,0,1,3
1990,17 Jun 1990 - 21:00,Group E,home,Belgium,3,3,1
1990,18 Jun 1990 - 21:00,Group B,home,Argentina,1,1,1
1990,18 Jun 1990 - 21:00,Group B,home,Cameroon,0,0,4
1990,19 Jun 1990 - 17:00,Group D,home,Germany FR,1,1,1
1990,19 Jun 1990 - 17:00,Group D,home,Yugoslavia,3,4,1
1990,19 Jun 1990 - 21:00,Group A,home,Italy,3,2,0
1990,19 Jun 1990 - 21:00,Group A,home,Austria,3,2,1
1990,20 Jun 1990 - 21:00,Group C,home,Brazil,3,1,0
1990,20 Jun 1990 - 21:00,Group C,home,Sweden,0,1,2
1990,21 Jun 1990 - 17:00,Group E,home,Korea Republic,0,0,1
1990,21 Jun 1990 - 17:00,Group E,home,Belgium,0,1,2
1990,21 Jun 1990 - 21:00,Group F,home,"rn"">Republic of Ireland",1,1,1
1990,21 Jun 1990 - 21:00,Group F,home,England,3,1,0
1994,17 Jun 1994 - 19:30,Group C,home,Spain,1,2,2
1994,17 Jun 1994 - 15:00,Group C,home,Germany,3,1,0
1994,18 Jun 1994 - 11:30,Group A,home,USA,1,1,1
1994,18 Jun 1994 - 16:00,Group E,home,Italy,0,0,1
1994,18 Jun 1994 - 19:30,Group A,home,Colombia,0,1,3
1994,19 Jun 1994 - 12:30,Group F,home,Belgium,3,1,0
1994,19 Jun 1994 - 16:00,Group E,home,Norway,3,1,0
1994,19 Jun 1994 - 19:30,Group B,home,Cameroon,1,2,2
1994,20 Jun 1994 - 19:30,Group F,home,Netherlands,3,2,1
1994,20 Jun 1994 - 16:00,Group B,home,Brazil,3,2,0
1994,21 Jun 1994 - 12:30,Group D,home,Argentina,3,4,0
1994,21 Jun 1994 - 19:30,Group D,home,Nigeria,3,3,0
1994,21 Jun 1994 - 16:00,Group C,home,Germany,1,1,1
1994,22 Jun 1994 - 16:00,Group A,home,Romania,0,1,4
1994,22 Jun 1994 - 19:30,Group A,home,USA,3,2,1
1994,23 Jun 1994 - 16:00,Group E,home,Italy,3,1,0
1994,23 Jun 1994 - 19:30,Group C,home,Korea Republic,1,0,0
1994,24 Jun 1994 - 12:30,Group E,home,Mexico,3,2,1
1994,24 Jun 1994 - 19:30,Group B,home,Sweden,3,3,1
1994,24 Jun 1994 - 16:00,Group B,home,Brazil,3,3,0
1994,25 Jun 1994 - 12:30,Group F,home,Belgium,3,1,0
1994,25 Jun 1994 - 12:30,Group F,home,Saudi Arabia,3,2,1
1994,25 Jun 1994 - 16:00,Group D,home,Argentina,3,2,1
1994,26 Jun 1994 - 12:30,Group D,home,Bulgaria,3,4,0
1994,26 Jun 1994 - 16:00,Group A,home,USA,0,0,1
1994,26 Jun 1994 - 16:00,Group A,home,Switzerland,0,0,2
1994,27 Jun 1994 - 16:00,Group C,home,Germany,3,3,2
1994,27 Jun 1994 - 16:00,Group C,home,Bolivia,0,1,3
1994,28 Jun 1994 - 12:30,Group E,home,"rn"">Republic of Ireland",1,0,0
1994,28 Jun 1994 - 16:00,Group B,home,Brazil,1,1,1
1994,28 Jun 1994 - 12:30,Group E,home,Italy,1,1,1
1994,28 Jun 1994 - 16:00,Group B,home,Russia,3,6,1
1994,29 Jun 1994 - 12:30,Group F,home,Morocco,0,1,2
1994,29 Jun 1994 - 12:30,Group F,home,Belgium,0,0,1
1994,30 Jun 1994 - 19:30,Group D,home,Greece,0,0,2
1994,30 Jun 1994 - 19:30,Group D,home,Argentina,0,0,2
1998,10 Jun 1998 - 17:30,Group A,home,Brazil,3,2,1
1998,10 Jun 1998 - 21:00,Group A,home,Morocco,1,2,2
1998,11 Jun 1998 - 17:30,Group B,home,Italy,1,2,2
1998,11 Jun 1998 - 21:00,Group B,home,Cameroon,1,1,1
1998,12 Jun 1998 - 14:30,Group D,home,Paraguay,1,0,0
1998,12 Jun 1998 - 17:30,Group C,home,Saudi Arabia,0,0,1
1998,12 Jun 1998 - 21:00,Group C,home,France,3,3,0
1998,13 Jun 1998 - 14:30,Group D,home,Spain,0,2,3
1998,13 Jun 1998 - 17:30,Group E,home,Korea Republic,0,1,3
1998,13 Jun 1998 - 21:00,Group E,home,Netherlands,1,0,0
1998,14 Jun 1998 - 14:30,Group H,home,Argentina,3,1,0
1998,14 Jun 1998 - 17:30,Group F,home,Yugoslavia,3,1,0
1998,14 Jun 1998 - 21:00,Group H,home,Jamaica,0,1,3
1998,15 Jun 1998 - 14:30,Group G,home,England,3,2,0
1998,15 Jun 1998 - 17:30,Group G,home,Romania,3,1,0
1998,15 Jun 1998 - 21:00,Group F,home,Germany,3,2,0
1998,16 Jun 1998 - 17:30,Group A,home,Scotland,1,1,1
1998,16 Jun 1998 - 21:00,Group A,home,Brazil,3,3,0
1998,17 Jun 1998 - 17:30,Group B,home,Chile,1,1,1
1998,17 Jun 1998 - 21:00,Group B,home,Italy,3,3,0
1998,18 Jun 1998 - 17:30,Group C,home,South Africa,1,1,1
1998,18 Jun 1998 - 21:00,Group C,home,France,3,4,0
1998,19 Jun 1998 - 17:30,Group D,home,Nigeria,3,1,0
1998,19 Jun 1998 - 21:00,Group D,home,Spain,1,0,0
1998,20 Jun 1998 - 14:30,Group H,home,Japan,0,0,1
1998,20 Jun 1998 - 17:30,Group E,home,Belgium,1,2,2
1998,20 Jun 1998 - 21:00,Group E,home,Netherlands,3,5,0
1998,21 Jun 1998 - 14:30,Group F,home,Germany,1,2,2
1998,21 Jun 1998 - 17:30,Group H,home,Argentina,3,5,0
1998,21 Jun 1998 - 21:00,Group F,home,USA,0,1,2
1998,22 Jun 1998 - 17:30,Group G,home,Colombia,3,1,0
1998,22 Jun 1998 - 21:00,Group G,home,Romania,3,2,1
1998,23 Jun 1998 - 16:00,Group B,home,Italy,3,2,1
1998,23 Jun 1998 - 16:00,Group B,home,Chile,1,1,1
1998,23 Jun 1998 - 21:00,Group A,home,Scotland,0,0,3
1998,23 Jun 1998 - 21:00,Group A,home,Brazil,0,1,2
1998,24 Jun 1998 - 16:00,Group C,home,France,3,2,1
1998,24 Jun 1998 - 16:00,Group C,home,South Africa,1,2,2
1998,24 Jun 1998 - 21:00,Group D,home,Spain,3,6,1
1998,24 Jun 1998 - 21:00,Group D,home,Nigeria,0,1,3
1998,25 Jun 1998 - 16:00,Group E,home,Belgium,1,1,1
1998,25 Jun 1998 - 16:00,Group E,home,Netherlands,1,2,2
1998,25 Jun 1998 - 21:00,Group F,home,Germany,3,2,0
1998,25 Jun 1998 - 21:00,Group F,home,USA,0,0,1
1998,26 Jun 1998 - 16:00,Group H,home,Japan,0,1,2
1998,26 Jun 1998 - 16:00,Group H,home,Argentina,3,1,0
1998,26 Jun 1998 - 21:00,Group G,home,Romania,1,1,1
1998,26 Jun 1998 - 21:00,Group G,home,Colombia,0,0,2
2002,31 May 2002 - 20:30,Group A,home,France,0,0,1
2002,01 Jun 2002 - 18:00,Group A,home,Uruguay,0,1,2
2002,01 Jun 2002 - 15:30,Group E,home,"rn"">Republic of Ireland",1,1,1
2002,01 Jun 2002 - 20:30,Group E,home,Germany,3,8,0
2002,02 Jun 2002 - 14:30,Group F,home,Argentina,3,1,0
2002,02 Jun 2002 - 16:30,Group B,home,Paraguay,1,2,2
2002,02 Jun 2002 - 18:30,Group F,home,England,1,1,1
2002,02 Jun 2002 - 20:30,Group B,home,Spain,3,3,1
2002,03 June 2002 - 18:00,Group C,home,Brazil,3,2,1
2002,03 Jun 2002 - 20:30,Group G,home,Italy,3,2,0
2002,03 Jun 2002 - 15:30,Group G,home,Croatia,0,0,1
2002,04 June 2002 - 15:30,Group C,home,China PR,0,0,2
2002,04 June 2002 - 18:00,Group H,home,Japan,1,2,2
2002,04 Jun 2002 - 20:30,Group D,home,Korea Republic,3,2,0
2002,05 Jun 2002 - 15:30,Group H,home,Russia,3,2,0
2002,05 Jun 2002 - 18:00,Group D,home,USA,3,3,2
2002,05 Jun 2002 - 20:30,Group E,home,Germany,1,1,1
2002,06 Jun 2002 - 15:30,Group A,home,Denmark,1,1,1
2002,06 Jun 2002 - 18:00,Group E,home,Cameroon,3,1,0
2002,06 Jun 2002 - 20:30,Group A,home,France,1,0,0
2002,07 Jun 2002 - 15:30,Group F,home,Sweden,3,2,1
2002,07 Jun 2002 - 20:30,Group F,home,Argentina,0,0,1
2002,07 June 2002 - 18:00,Group B,home,Spain,3,3,1
2002,08 Jun 2002 - 15:30,Group B,home,South Africa,3,1,0
2002,08 Jun 2002 - 20:30,Group C,home,Brazil,3,4,0
2002,08 June 2002 - 18:00,Group G,home,Italy,0,1,2
2002,09 Jun 2002 - 18:00,Group C,home,Costa Rica,1,1,1
2002,09 Jun 2002 - 20:30,Group H,home,Japan,3,1,0
2002,09 Jun 2002 - 15:30,Group G,home,Mexico,3,2,1
2002,10 Jun 2002 - 15:30,Group D,home,Korea Republic,1,1,1
2002,10 Jun 2002 - 20:30,Group D,home,Portugal,3,4,0
2002,10 Jun 2002 - 18:00,Group H,home,Tunisia,1,1,1
2002,11 Jun 2002 - 15:30,Group A,home,Denmark,3,2,0
2002,11 June 2002 - 15:30,Group A,home,Senegal,1,3,3
2002,11 Jun 2002 - 20:30,Group E,home,Saudi Arabia,0,0,3
2002,11 Jun 2002 - 20:30,Group E,home,Cameroon,0,0,2
2002,12 Jun 2002 - 15:30,Group F,home,Sweden,1,1,1
2002,12 Jun 2002 - 15:30,Group F,home,Nigeria,1,0,0
2002,12 Jun 2002 - 20:30,Group B,home,Slovenia,0,1,3
2002,12 Jun 2002 - 20:30,Group B,home,South Africa,0,2,3
2002,13 Jun 2002 - 15:30,Group C,home,Costa Rica,0,2,5
2002,13 Jun 2002 - 15:30,Group C,home,Turkey,3,3,0
2002,13 Jun 2002 - 20:30,Group G,home,Ecuador,3,1,0
2002,13 Jun 2002 - 20:30,Group G,home,Mexico,1,1,1
2002,14 Jun 2002 - 15:30,Group H,home,Tunisia,0,0,2
2002,14 Jun 2002 - 20:30,Group D,home,Portugal,0,0,1
2002,14 Jun 2002 - 20:30,Group D,home,Poland,3,3,1
2002,14 Jun 2002 - 15:30,Group H,home,Belgium,3,3,2
2006,09 Jun 2006 - 18:00,Group A,home,Germany,3,4,2
2006,09 Jun 2006 - 21:00,Group A,home,Poland,0,0,2
2006,10 Jun 2006 - 15:00,Group B,home,England,3,1,0
2006,10 Jun 2006 - 18:00,Group B,home,"rn"">Trinidad and Tobago",1,0,0
2006,10 Jun 2006 - 21:00,Group C,home,Argentina,3,2,1
2006,11 Jun 2006 - 15:00,Group C,home,"rn"">Serbia and Montenegro",0,0,1
2006,11 Jun 2006 - 18:00,Group D,home,Mexico,3,3,1
2006,11 Jun 2006 - 21:00,Group D,home,Angola,0,0,1
2006,12 Jun 2006 - 15:00,Group F,home,Australia,3,3,1
2006,12 Jun 2006 - 18:00,Group E,home,USA,0,0,3
2006,12 Jun 2006 - 21:00,Group E,home,Italy,3,2,0
2006,13 Jun 2006 - 15:00,Group G,home,Korea Republic,3,2,1
2006,13 Jun 2006 - 18:00,Group G,home,France,1,0,0
2006,13 Jun 2006 - 21:00,Group F,home,Brazil,3,1,0
2006,14 Jun 2006 - 15:00,Group H,home,Spain,3,4,0
2006,14 Jun 2006 - 18:00,Group H,home,Tunisia,1,2,2
2006,14 Jun 2006 - 21:00,Group A,home,Germany,3,1,0
2006,15 Jun 2006 - 15:00,Group A,home,Ecuador,3,3,0
2006,15 Jun 2006 - 18:00,Group B,home,England,3,2,0
2006,15 Jun 2006 - 21:00,Group B,home,Sweden,3,1,0
2006,16 Jun 2006 - 15:00,Group C,home,Argentina,3,6,0
2006,16 Jun 2006 - 18:00,Group C,home,Netherlands,3,2,1
2006,16 Jun 2006 - 21:00,Group D,home,Mexico,1,0,0
2006,17 Jun 2006 - 15:00,Group D,home,Portugal,3,2,0
2006,17 Jun 2006 - 18:00,Group E,home,Czech Republic,0,0,2
2006,17 Jun 2006 - 21:00,Group E,home,Italy,1,1,1
2006,18 Jun 2006 - 15:00,Group F,home,Japan,1,0,0
2006,18 Jun 2006 - 18:00,Group F,home,Brazil,3,2,0
2006,18 Jun 2006 - 21:00,Group G,home,France,1,1,1
2006,19 Jun 2006 - 15:00,Group G,home,Togo,0,0,2
2006,19 Jun 2006 - 18:00,Group H,home,Saudi Arabia,0,0,4
2006,19 Jun 2006 - 21:00,Group H,home,Spain,3,3,1
2006,20 Jun 2006 - 16:00,Group A,home,Ecuador,0,0,3
2006,20 Jun 2006 - 16:00,Group A,home,Costa Rica,0,1,2
2006,20 Jun 2006 - 21:00,Group B,home,Sweden,1,2,2
2006,20 Jun 2006 - 21:00,Group B,home,Paraguay,3,2,0
2006,21 Jun 2006 - 16:00,Group D,home,Iran,1,1,1
2006,21 Jun 2006 - 16:00,Group D,home,Portugal,3,2,1
2006,21 Jun 2006 - 21:00,Group C,home,Netherlands,1,0,0
2006,21 Jun 2006 - 21:00,Group C,home,C�te d'Ivoire,3,3,2
2006,22 Jun 2006 - 16:00,Group E,home,Czech Republic,0,0,2
2006,22 Jun 2006 - 16:00,Group E,home,Ghana,3,2,1
2006,22 Jun 2006 - 21:00,Group F,home,Japan,0,1,4
2006,22 Jun 2006 - 21:00,Group F,home,Croatia,1,2,2
2006,23 Jun 2006 - 16:00,Group H,home,Ukraine,3,1,0
2006,23 Jun 2006 - 16:00,Group H,home,Saudi Arabia,0,0,1
2006,23 Jun 2006 - 21:00,Group G,home,Togo,0,0,2
2006,23 Jun 2006 - 21:00,Group G,home,Switzerland,3,2,0
2010,11 Jun 2010 - 16:00,Group A,home,South Africa,1,1,1
2010,11 Jun 2010 - 20:30,Group A,home,Uruguay,1,0,0
2010,12 Jun 2010 - 13:30,Group B,home,Korea Republic,3,2,0
2010,12 Jun 2010 - 16:00,Group B,home,Argentina,3,1,0
2010,12 Jun 2010 - 20:30,Group C,home,England,1,1,1
2010,13 Jun 2010 - 13:30,Group C,home,Algeria,0,0,1
2010,13 Jun 2010 - 16:00,Group D,home,Serbia,0,0,1
2010,13 Jun 2010 - 20:30,Group D,home,Germany,3,4,0
2010,14 Jun 2010 - 13:30,Group E,home,Netherlands,3,2,0
2010,14 Jun 2010 - 16:00,Group E,home,Japan,3,1,0
2010,14 Jun 2010 - 20:30,Group F,home,Italy,1,1,1
2010,15 Jun 2010 - 13:30,Group F,home,New Zealand,1,1,1
2010,15 Jun 2010 - 16:00,Group G,home,C�te d'Ivoire,1,0,0
2010,15 Jun 2010 - 20:30,Group G,home,Brazil,3,2,1
2010,16 Jun 2010 - 13:30,Group H,home,Honduras,0,0,1
2010,16 Jun 2010 - 16:00,Group H,home,Spain,0,0,1
2010,16 Jun 2010 - 20:30,Group A,home,South Africa,0,0,3
2010,17 Jun 2010 - 13:30,Group B,home,Argentina,3,4,1
2010,17 Jun 2010 - 16:00,Group B,home,Greece,3,2,1
2010,17 Jun 2010 - 20:30,Group A,home,France,0,0,2
2010,18 Jun 2010 - 13:30,Group D,home,Germany,0,0,1
2010,18 Jun 2010 - 16:00,Group C,home,Slovenia,1,2,2
2010,18 Jun 2010 - 20:30,Group C,home,England,1,0,0
2010,19 Jun 2010 - 13:30,Group E,home,Netherlands,3,1,0
2010,19 Jun 2010 - 16:00,Group D,home,Ghana,1,1,1
2010,19 Jun 2010 - 20:30,Group E,home,Cameroon,0,1,2
2010,20 Jun 2010 - 13:30,Group F,home,Slovakia,0,0,2
2010,20 Jun 2010 - 16:00,Group F,home,Italy,1,1,1
2010,20 Jun 2010 - 20:30,Group G,home,Brazil,3,3,1
2010,21 Jun 2010 - 13:30,Group G,home,Portugal,3,7,0
2010,21 Jun 2010 - 16:00,Group H,home,Chile,3,1,0
2010,21 Jun 2010 - 20:30,Group H,home,Spain,3,2,0
2010,22 Jun 2010 - 16:00,Group A,home,Mexico,0,0,1
2010,22 Jun 2010 - 16:00,Group A,home,France,0,1,2
2010,22 Jun 2010 - 20:30,Group B,home,Nigeria,1,2,2
2010,22 Jun 2010 - 20:30,Group B,home,Greece,0,0,2
2010,23 Jun 2010 - 16:00,Group C,home,Slovenia,0,0,1
2010,23 Jun 2010 - 16:00,Group C,home,USA,3,1,0
2010,23 Jun 2010 - 20:30,Group D,home,Ghana,0,0,1
2010,23 Jun 2010 - 20:30,Group D,home,Australia,3,2,1
2010,24 Jun 2010 - 16:00,Group F,home,Slovakia,3,3,2
2010,24 Jun 2010 - 16:00,Group F,home,Paraguay,1,0,0
2010,24 Jun 2010 - 20:30,Group E,home,Denmark,0,1,3
2010,24 Jun 2010 - 20:30,Group E,home,Cameroon,0,1,2
2010,25 Jun 2010 - 16:00,Group G,home,Portugal,1,0,0
2010,25 Jun 2010 - 16:00,Group G,home,Korea DPR,0,0,3
2010,25 Jun 2010 - 20:30,Group H,home,Chile,0,1,2
2010,25 Jun 2010 - 20:30,Group H,home,Switzerland,1,0,0
2014,12 Jun 2014 - 17:00,Group A,home,Brazil,3,3,1
2014,13 Jun 2014 - 13:00,Group A,home,Mexico,3,1,0
2014,13 Jun 2014 - 16:00,Group B,home,Spain,0,1,5
2014,13 Jun 2014 - 18:00,Group B,home,Chile,3,3,1
2014,14 Jun 2014 - 13:00,Group C,home,Colombia,3,3,0
2014,14 Jun 2014 - 16:00,Group D,home,Uruguay,0,1,3
2014,14 Jun 2014 - 18:00,Group D,home,England,0,1,2
2014,14 Jun 2014 - 22:00,Group C,home,C�te d'Ivoire,3,2,1
2014,15 Jun 2014 - 13:00,Group E,home,Switzerland,3,2,1
2014,15 Jun 2014 - 16:00,Group E,home,France,3,3,0
2014,15 Jun 2014 - 19:00,Group F,home,Argentina,3,2,1
2014,16 Jun 2014 - 13:00,Group G,home,Germany,3,4,0
2014,16 Jun 2014 - 16:00,Group F,home,IR Iran,1,0,0
2014,16 Jun 2014 - 19:00,Group G,home,Ghana,0,1,2
2014,17 Jun 2014 - 13:00,Group H,home,Belgium,3,2,1
2014,17 Jun 2014 - 16:00,Group A,home,Brazil,1,0,0
2014,17 Jun 2014 - 18:00,Group H,home,Russia,1,1,1
2014,18 Jun 2014 - 13:00,Group B,home,Australia,0,2,3
2014,18 Jun 2014 - 16:00,Group B,home,Spain,0,0,2
2014,18 Jun 2014 - 18:00,Group A,home,Cameroon,0,0,4
2014,19 Jun 2014 - 13:00,Group C,home,Colombia,3,2,1
2014,19 Jun 2014 - 16:00,Group D,home,Uruguay,3,2,1
2014,19 Jun 2014 - 19:00,Group C,home,Japan,1,0,0
2014,20 Jun 2014 - 13:00,Group D,home,Italy,0,0,1
2014,20 Jun 2014 - 16:00,Group E,home,Switzerland,0,2,5
2014,20 Jun 2014 - 19:00,Group E,home,Honduras,0,1,2
2014,21 Jun 2014 - 13:00,Group F,home,Argentina,3,1,0
2014,21 Jun 2014 - 16:00,Group G,home,Germany,1,2,2
2014,21 Jun 2014 - 18:00,Group F,home,Nigeria,3,1,0
2014,22 Jun 2014 - 13:00,Group H,home,Belgium,3,1,0
2014,22 Jun 2014 - 16:00,Group H,home,Korea Republic,0,2,4
2014,22 Jun 2014 - 18:00,Group G,home,USA,1,2,2
2014,23 Jun 2014 - 13:00,Group B,home,Australia,0,0,3
2014,23 Jun 2014 - 13:00,Group B,home,Netherlands,3,2,0
2014,23 Jun 2014 - 17:00,Group A,home,Cameroon,0,1,4
2014,23 Jun 2014 - 17:00,Group A,home,Croatia,0,1,3
2014,24 Jun 2014 - 13:00,Group D,home,Italy,0,0,1
2014,24 Jun 2014 - 13:00,Group D,home,Costa Rica,1,0,0
2014,24 Jun 2014 - 16:00,Group C,home,Japan,0,1,4
2014,24 Jun 2014 - 17:00,Group C,home,Greece,3,2,1
2014,25 Jun 2014 - 13:00,Group F,home,Nigeria,0,2,3
2014,25 Jun 2014 - 13:00,Group F,home,"rn"">Bosnia and Herzegovina",3,3,1
2014,25 Jun 2014 - 16:00,Group E,home,Honduras,0,0,3
2014,25 Jun 2014 - 17:00,Group E,home,Ecuador,1,0,0
2014,26 Jun 2014 - 13:00,Group G,home,USA,0,0,1
2014,26 Jun 2014 - 13:00,Group G,home,Portugal,3,2,1
2014,26 Jun 2014 - 17:00,Group H,home,Korea Republic,0,0,1
2014,26 Jun 2014 - 17:00,Group H,home,Algeria,1,1,1
